,Chave,Valor
0,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-11-01_end_2021-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot468780042464964_-9dot37770545394352_-48dot45809726837421_-9dot370417609784793_553_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot287908143446025_-21dot257698153247134_-48dot275665406233486_-21dot247121134932396_786_5/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
2,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot05922383960848_-21dot873404307962403_-50dot04012821624416_-21dot858266326629632_802_4/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
3,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot71737073197369_-21dot741999333902065_-50dot70201545195152_-21dot733897775961562_850_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
4,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot73477412982219_-21dot66213806132242_-50dot73052688810537_-21dot65545258666748_851_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
5,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot50532562387837_-22dot08065633082498_-50dot49772170129546_-22dot07445663846306_859_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
6,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot200170879582394_-19dot898677435115474_-50dot19579817974215_-19dot88943614116494_763_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
7,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot364188996924604_-19dot964662738694415_-50dot35820159672624_-19dot957842413396634_764_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
8,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot63422247818477_-21dot71543941399773_-48dot62659226751907_-21dot708729492172267_817_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
9,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-51dot79790474670665_-22dot150816450119013_-51dot79154073381778_-22dot14009405279824_855_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
10,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-57dot49382212978742_-19dot404365323400896_-57dot44824180761327_-19dot350835793836776_1187_25/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
11,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot95631532818982_-2dot985196009987816_-48dot91657976654295_-2dot9642062444225985_1297_8/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
12,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-11-01_end_2021-08-01_monitoring_class_CORN_epsg4326_minxymaxxy_-45dot28973396205265_-8dot549197073486084_-45dot26192831743787_-8dot512029384748246_1985_4/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
13,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot80010182683781_-21dot23199458937876_-49dot789258117268275_-21dot223594487095852_4218_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
14,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot80010182683781_-21dot23199458937876_-49dot789258117268275_-21dot223594487095852_4218_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
15,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-47dot31201503496584_-20dot647464930761885_-47dot30490900674522_-20dot639402621933417_4311_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
16,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot5130282722369_-21dot62936161464677_-50dot5090563606625_-21dot62390997116819_4390_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
17,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot63274282881843_-21dot501276322444248_-49dot62665486463027_-21dot49333830351986_4403_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
18,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot59372016155617_-21dot540880577676486_-49dot58197583941341_-21dot53051185313944_4404_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
19,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot595352359124036_-21dot55262489981925_-49dot57245155939193_-21dot530502476807836_4411_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
20,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot5913659468809_-21dot550636244267196_-49dot571957520423204_-21dot53360134992232_4412_4/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
21,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot5913659468809_-21dot550636244267196_-49dot571957520423204_-21dot53360134992232_4412_5/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
22,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot5913659468809_-21dot550636244267196_-49dot571957520423204_-21dot53360134992232_4412_8/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
23,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot60728479535697_-21dot715965682869925_-48dot59658543147241_-21dot70636128404595_4556_9/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
24,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-47dot18388253644986_-22dot383116084839397_-47dot177169957127774_-22dot377656790828212_4639_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
25,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-47dot457130777963016_-22dot826079456401768_-47dot44794317983383_-22dot82073394461582_4941_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
26,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-51dot556361532858425_-21dot909446800929054_-51dot55188743985344_-21dot90510770065981_5045_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
27,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-55dot66024083214864_-14dot090914338725723_-55dot60353197522045_-14dot04126343226153_10410_4/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
28,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-53dot683348031186654_-15dot82479384096297_-53dot673469214132865_-15dot815162757455251_10616_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
29,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot13785803332154_-13dot27293127006203_-49dot131290721489556_-13dot263008917727346_10725_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
30,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-54dot595738563883565_-2dot677437660919281_-54dot5919242351153_-2dot671226718937873_1289_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
31,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot079534535390444_-3dot4564403250608966_-49dot06031967271468_-3dot4285590780389725_1341_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
32,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-11-01_end_2021-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot4414658449727_-9dot498498188640436_-48dot432698833684185_-9dot484118786352838_1493_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
33,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-11-01_end_2021-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot10313016862232_-11dot339672536957949_-48dot08075359989868_-11dot326252376745742_1565_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
34,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot35985642573342_-19dot930855020542708_-50dot35570724069657_-19dot925184512655104_4174_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
35,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot254690101367025_-20dot632292107894443_-50dot24529070210417_-20dot626766634572505_4254_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
36,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot38840271371424_-20dot337657774986265_-48dot3831333870961_-20dot331946060162515_4275_1/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
37,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot59372016155617_-21dot540880577676486_-49dot58197583941341_-21dot53051185313944_4404_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
38,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot664317419713086_-21dot51260790523059_-49dot659270738253944_-21dot502026759027668_4409_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
39,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot595352359124036_-21dot55262489981925_-49dot57245155939193_-21dot530502476807836_4411_4/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
40,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot595352359124036_-21dot55262489981925_-49dot57245155939193_-21dot530502476807836_4411_5/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
41,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot595352359124036_-21dot55262489981925_-49dot57245155939193_-21dot530502476807836_4411_6/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
42,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot595352359124036_-21dot55262489981925_-49dot57245155939193_-21dot530502476807836_4411_7/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
43,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-49dot5913659468809_-21dot550636244267196_-49dot571957520423204_-21dot53360134992232_4412_6/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
44,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot340527214659176_-22dot086154655412997_-48dot33658590701395_-22dot082380170208634_4597_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
45,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-47dot44786172913547_-21dot967784444296623_-47dot43972692505752_-21dot95904953250988_4772_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
46,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-51dot707192474652906_-21dot80969186278918_-51dot69422129018034_-21dot79913846786593_5041_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
47,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot40092558304917_-21dot890158969061133_-50dot392866152950546_-21dot88141250638199_5051_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
48,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot068824216664204_-22dot050581264113987_-50dot05606314799581_-22dot043415608143736_5085_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
49,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-50dot45955399971728_-22dot53650434420007_-50dot45165273788348_-22dot530954474969008_5096_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
50,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-60dot1101421604323_-15dot915352465643705_-60dot08470269057665_-15dot88535323696226_10475_5/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
51,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-06-01_monitoring_class_CORN_epsg4326_minxymaxxy_-67dot61002975806683_-10dot030265735275405_-67dot59965753786503_-10dot02294676917802_487_0/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
52,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-07-01_monitoring_class_CORN_epsg4326_minxymaxxy_-48dot90221423539862_-2dot962818952932309_-48dot87248518914015_-2dot9418509086924587_493_7/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
