,Chave,Valor
0,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot410324044319175_-14dot379875956809936_-59dot35555232168225_-14dot345572526950491_14950_2/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot410324044319175_-14dot379875956809936_-59dot35555232168225_-14dot345572526950491_14950_3/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
2,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot410324044319175_-14dot379875956809936_-59dot35555232168225_-14dot345572526950491_14950_8/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
3,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot410324044319175_-14dot379875956809936_-59dot35555232168225_-14dot345572526950491_14950_9/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
4,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-46dot58096935025526_-13dot655016768708888_-46dot53143117920552_-13dot60239433403126_16253_46/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
5,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_25/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
6,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_27/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
7,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_29/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
8,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_30/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
9,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_34/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
10,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot57122145080927_-13dot560179602306732_-52dot53657786227847_-13dot477504438279139_14820_41/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
11,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-48dot780816133757526_-17dot613959060761996_-48dot7050344809565_-17dot571314716600853_16501_9/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
12,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-48dot780816133757526_-17dot613959060761996_-48dot7050344809565_-17dot571314716600853_16501_32/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
13,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-10-01_end_2021-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-48dot780816133757526_-17dot613959060761996_-48dot7050344809565_-17dot571314716600853_16501_34/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
14,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-44dot090884454553866_-7dot269210610481253_-44dot05046842537746_-7dot202970966037189_2568_11/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
15,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-09-01_end_2022-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-51dot813562973252544_-11dot242753138746309_-51dot77587487292697_-11dot189162609067125_14734_21/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
16,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot996884030773344_-12dot991414376572154_-57dot94765684079056_-12dot96300019670167_14208_7/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
17,/agrilearn_app/datasets/base/eopatch/input_model/start_2020-09-01_end_2021-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot996884030773344_-12dot991414376572154_-57dot94765684079056_-12dot96300019670167_14208_8/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
18,/agrilearn_app/datasets/base/eopatch/input_model/start_2021-10-01_end_2022-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot64223947257357_-30dot63807415849556_-54dot571505188313715_-30dot61317108118038_13165_11/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
