,Chave,Valor
0,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot55628215211709_-15dot911688964552189_-47dot546021357878104_-15dot899272213631326/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot38191915546948_-15dot924624704643513_-47dot37803639974777_-15dot9200232966945/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot38191915546948_-15dot924624704643513_-47dot37803639974777_-15dot9200232966945/eopatch_0_col-0_row-0' does not exist
2,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot428721381772114_-15dot91132963843854_-47dot42447929993674_-15dot906907893546348/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot428721381772114_-15dot91132963843854_-47dot42447929993674_-15dot906907893546348/eopatch_0_col-0_row-0' does not exist
3,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot39575321084494_-15dot85940701501642_-47dot38746871023101_-15dot852110661215068/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot39575321084494_-15dot85940701501642_-47dot38746871023101_-15dot852110661215068/eopatch_0_col-0_row-0' does not exist
4,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot421894185612814_-15dot90432277922242_-47dot41666395696491_-15dot898284066818809/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot421894185612814_-15dot90432277922242_-47dot41666395696491_-15dot898284066818809/eopatch_0_col-0_row-0' does not exist
5,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-46dot10217920171282_-4dot6725071188192775_-46dot09937442433204_-4dot669073520739577/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
6,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-46dot10460465297994_-4dot68652083725154_-46dot097847288349044_-4dot681739766245671/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
7,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-46dot851374148668505_-4dot185979560940136_-46dot845892474957736_-4dot182456131332004/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
8,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-47dot74564701400948_-4dot646186480994571_-47dot732152284747684_-4dot640081700911155/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
9,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-45dot79666217358377_-5dot62804508653716_-45dot78849468178406_-5dot621287721906279/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
10,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-45dot997705134169735_-5dot636901848641372_-45dot973450276309165_-5dot5993825816407865/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
11,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-46dot42081163299002_-5dot768451765445064_-46dot40767622984187_-5dot758640128848127/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
12,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-07-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-45dot89152145155372_-6dot097055496375975_-45dot88485828008549_-6dot0846387454551305/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
